"","x"
"1316",897
"1317",115
"1318",382
"1319",968
"1320",1113
"1321",775
"1322",2206
"1323",474
"1324",218
"1325",997
"1326",731
"1327",596
"1328",541
"1329",126
"1330",613
"1331",718
"1332",1315
"1333",600
"1334",463
"1335",218
"1336",328
"1337",1533
"1338",175
"1339",307
"1340",347
"1341",344
"1342",182
"1343",186
"1344",1011
"1345",293
"1346",1128
"1347",452
"1348",265
"1349",519
"1350",28
"1351",243
"1352",2191
"1353",320
"1354",357
"1355",20
"1356",631
"1357",571
"1358",2974
"1359",222
"1360",1198
"1361",2274
"1362",1223
"1363",2263
"1364",772
"1365",612
"1366",569
"1367",960
"1368",684
"1369",508
"1370",1112
"1371",134
"1372",1475
"1373",1354
"1374",558
"1375",228
"1376",602
"1377",1488
"1378",263
"1379",368
"1380",1618
"1381",482
"1382",232
"1383",43
"1384",398
"1385",198
"1386",770
"1387",178
"1388",99
"1389",3654
"1390",373
"1391",716
"1392",385
"1393",1705
"1394",928
"1395",339
"1396",596
"1397",1430
"1398",502
"1399",435
"1400",742
"1401",921
"1402",272
"1403",792
"1404",2112
"1405",335
"1406",54
"1407",445
"1408",531
"1409",1051
"1410",149
"1411",494
"1412",351
"1413",201
"1414",697
"1415",464
"1416",391
"1417",756
"1418",2016
"1419",154
"1420",718
"1421",510
"1422",2032
"1423",488
"1424",373
"1425",289
"1426",627
"1427",452
"1428",1562
"1429",1706
"1430",62
"1431",164
"1432",116
"1433",105
"1434",281
"1435",427
"1436",118
"1437",269
"1438",255
"1439",227
"1440",373
"1441",695
"1442",43
"1443",275
"1444",758
"1445",117
"1446",234
"1447",523
"1448",570
"1449",1246
"1450",1912
"1451",687
"1452",384
"1453",2161
"1454",526
"1455",347
"1456",1053
"1457",460
"1458",184
"1459",356
"1460",247
"1461",841
"1462",523
"1463",404
"1464",724
"1465",401
"1466",742
"1467",562
"1468",2178
"1469",69
"1470",386
"1471",181
"1472",439
"1473",722
"1474",375
"1475",257
"1476",176
"1477",307
"1478",297
"1479",185
"1480",97
"1481",38
"1482",375
"1483",406
"1484",788
"1485",276
"1486",1697
"1487",348
"1488",233
"1489",402
"1490",445
"1491",470
"1492",1131
"1493",687
"1494",1180
"1495",1458
"1496",788
"1497",1036
"1498",562
"1499",429
"1500",109
"1501",538
"1502",684
"1503",292
"1504",336
"1505",204
"1506",795
"1507",868
"1508",690
"1509",76
"1510",948
"1511",840
"1512",1922
"1513",440
"1514",482
"1515",275
"1516",63
"1517",1017
"1518",601
"1519",1066
"1520",48
"1521",100
"1522",2457
"1523",235
"1524",704
"1525",31
"1526",236
"1527",234
"1528",998
