"","x"
"1102",69
"1103",28
"1104",6
"1105",10
"1106",30
"1107",72
"1108",20
"1109",4
"1110",4
"1111",119
"1112",351
"1113",8
"1114",588
"1115",70
"1116",9
"1117",46
"1118",147
"1119",124
"1120",5
"1121",91
"1122",67
"1123",53
"1124",95
"1125",75
"1126",3
"1127",10
"1128",147
"1129",7
"1130",20
"1131",186
"1132",35
"1133",38
"1134",82
"1135",73
"1136",29
"1137",16
"1138",322
"1139",79
"1140",7
"1141",13
"1142",72
"1143",84
"1144",117
"1145",2
"1146",79
"1147",8
"1148",57
"1149",18
"1150",3
"1151",3
"1152",36
"1153",90
"1154",45
"1155",40
"1156",28
"1157",46
"1158",7
"1159",4
"1160",520
"1161",92
"1162",109
"1163",139
"1164",72
"1165",36
"1166",5
"1167",25
"1168",32
"1169",6
"1170",8
"1171",39
"1172",10
"1173",92
"1174",173
"1175",77
"1176",25
"1177",87
"1178",70
"1179",9
"1180",95
"1181",12
"1182",30
"1183",33
"1184",121
"1185",83
"1186",49
"1187",26
"1188",65
"1189",19
"1190",6
"1191",67
"1192",33
"1193",33
"1194",71
"1195",181
"1196",21
"1197",27
"1198",22
"1199",12
"1200",38
"1201",75
"1202",117
"1203",65
"1204",8
"1205",19
"1206",45
"1207",31
"1208",31
"1209",33
"1210",39
"1211",33
"1212",55
"1213",24
"1214",18
"1215",34
"1216",5
"1217",7
"1218",14
"1219",54
"1220",66
"1221",24
"1222",11
"1223",5
"1224",7
"1225",70
"1226",8
"1227",18
"1228",11
"1229",58
"1230",5
"1231",4
"1232",323
"1233",480
"1234",8
"1235",20
"1236",74
"1237",55
"1238",79
"1239",42
"1240",58
"1241",70
"1242",85
"1243",195
"1244",149
"1245",17
"1246",84
"1247",32
"1248",48
"1249",68
"1250",78
"1251",4
"1252",71
"1253",59
"1254",23
"1255",8
"1256",59
"1257",15
"1258",57
"1259",71
"1260",42
"1261",42
"1262",5
"1263",35
"1264",33
"1265",136
"1266",80
"1267",18
"1268",46
"1269",31
"1270",16
"1271",28
"1272",9
"1273",97
"1274",42
"1275",109
"1276",69
"1277",89
"1278",58
"1279",104
"1280",9
"1281",36
"1282",75
"1283",121
"1284",38
"1285",39
"1286",10
"1287",25
"1288",5
"1289",320
"1290",235
"1291",124
"1292",70
"1293",164
"1294",456
"1295",104
"1296",91
"1297",71
"1298",7
"1299",56
"1300",360
"1301",206
"1302",235
"1303",4
"1304",34
"1305",83
"1306",113
"1307",430
"1308",156
"1309",303
"1310",15
"1311",128
"1312",9
"1313",32
"1314",6
