"time","type","clientNum","chamada","busyServers","queue"
2016-02-10 18:14:23,"depart",94,"A155",5,0
2016-02-10 18:14:59,"arrive",96,"A157",6,0
2016-02-10 18:16:52,"arrive",97,"A158",7,0
2016-02-10 18:17:01,"depart",74,"A136",6,0
2016-02-10 18:17:12,"arrive",98,"A159",7,0
2016-02-10 18:17:56,"arrive",99,"A160",8,0
2016-02-10 18:18:09,"arrive",100,"A161",9,0
2016-02-10 18:18:33,"arrive",101,"A162",9,1
2016-02-10 18:18:34,"depart",98,"A159",9,0
2016-02-10 18:18:40,"arrive",102,"A163",9,1
2016-02-10 18:18:58,"depart",101,"A162",9,0
2016-02-10 18:19:40,"depart",95,"A156",8,0
2016-02-10 18:20:22,"depart",100,"A161",7,0
2016-02-10 18:20:37,"depart",91,"EP006",6,0
2016-02-10 18:21:04,"arrive",103,"A164",7,0
2016-02-10 18:21:11,"depart",102,"A163",6,0
2016-02-10 18:21:57,"depart",90,"A152",5,0
2016-02-10 18:22:12,"arrive",104,"E017",6,0
2016-02-10 18:22:48,"arrive",105,"A165",7,0
2016-02-10 18:24:42,"arrive",106,"A166",8,0
2016-02-10 18:24:52,"arrive",107,"A167",9,0
2016-02-10 18:25:26,"arrive",108,"A168",9,1
2016-02-10 18:25:59,"arrive",109,"EP007",9,2
2016-02-10 18:26:21,"arrive",110,"A169",9,3
2016-02-10 18:26:27,"depart",99,"A160",9,2
2016-02-10 18:27:44,"depart",103,"A164",9,1
2016-02-10 18:28:03,"depart",108,"A168",9,0
2016-02-10 18:28:19,"arrive",111,"A170",9,1
2016-02-10 18:28:40,"depart",104,"E017",9,0
2016-02-10 18:28:48,"depart",89,"A151",8,0
2016-02-10 18:29:22,"arrive",112,"A171",9,0
2016-02-10 18:31:00,"depart",107,"A167",8,0
2016-02-10 18:31:17,"arrive",113,"A172",9,0
2016-02-10 18:31:21,"arrive",114,"A173",9,1
2016-02-10 18:31:32,"depart",112,"A171",9,0
2016-02-10 18:33:54,"depart",110,"A169",8,0
2016-02-10 18:34:44,"arrive",115,"A174",9,0
2016-02-10 18:35:10,"depart",111,"A170",8,0
2016-02-10 18:35:54,"arrive",116,"A175",9,0
2016-02-10 18:37:26,"arrive",117,"A176",9,1
2016-02-10 18:38:46,"depart",96,"A157",9,0
2016-02-10 18:38:58,"depart",106,"A166",8,0
2016-02-10 18:39:06,"arrive",118,"E018",9,0
2016-02-10 18:39:40,"arrive",119,"A177",9,1
2016-02-10 18:40:08,"depart",118,"E018",9,0
2016-02-10 18:41:19,"depart",116,"A175",8,0
2016-02-10 18:41:50,"depart",119,"A177",7,0
2016-02-10 18:43:25,"depart",114,"A173",6,0
2016-02-10 18:43:35,"depart",117,"A176",5,0
2016-02-10 18:43:48,"arrive",120,"EP008",6,0
2016-02-10 18:45:53,"depart",109,"EP007",5,0
2016-02-10 18:46:11,"arrive",121,"A178",6,0
2016-02-10 18:47:56,"arrive",122,"E019",7,0
2016-02-10 18:48:08,"arrive",123,"A179",8,0
2016-02-10 18:49:12,"depart",120,"EP008",7,0
2016-02-10 18:51:03,"arrive",124,"A180",8,0
2016-02-10 18:51:11,"arrive",125,"A181",9,0
2016-02-10 18:52:26,"depart",121,"A178",8,0
2016-02-10 18:54:45,"arrive",126,"A182",9,0
2016-02-10 18:54:51,"arrive",127,"A183",9,1
2016-02-10 18:56:19,"arrive",128,"A184",9,2
