"servers";"round";"QsizeAtStart";"busySrvAtStart";"deltaServed";"avgD";"avgQ";"avgU"
7;70;0;7;45;885,413909716076;24,9602893754509;1,04888888888889
7;71;0;7;49;876,855304606107;15,8124527621931;1,01254822346899
7;72;0;7;53;286,726783577001;6,72230209357209;1,00399555656645
7;73;0;7;54;1026,0548872153;24,0373533161481;1,00244277920988
7;74;0;7;52;1101,62512147427;25,4948645993074;1,00610887301347
7;75;0;7;56;633,410455414227;13,4271599467595;1,00277777777778
7;76;0;7;47;320,02439895082;4,76186832010746;0,931263397629299
7;77;0;7;47;808,243343226453;16,274426764316;1,00423666789418
7;78;0;7;50;943,846006436348;18,6372038709455;1,00250122341845
7;79;0;7;47;844,667675140056;17,3258091027207;1,00602255695396
7;80;0;7;58;428,079150047796;8,15203607446618;1,01877225414155
7;81;0;7;55;456,256492944197;9,96522864540418;1,00527736631651
7;82;0;7;43;673,224314944689;10,0206033035119;1,00527777777778
7;83;0;7;38;743,493304152238;21,6228615571393;1,02092184255994
7;84;0;7;47;569,41235599112;8,79491329828898;1,00138888888889
7;85;0;7;51;634,984578815161;14,1726220966048;1,01545133471489
7;86;0;7;52;845,084990661878;25,7561868788136;1,02727466821671
7;87;0;7;56;209,964734677758;3,63163620008363;0,993856952303932
7;88;0;7;54;678,078627961653;12,6525249785185;1,00534166793029
7;89;0;7;41;777,425354823834;17,8905548844073;1,03757955683602
7;90;0;7;38;920,333809300473;23,897885941267;1,00944444444444
7;91;0;7;46;1356,80503335725;25,7964531703128;1,01055555555556
7;92;0;7;54;487,189547057505;10,4233198757304;0,962622937579004
7;93;0;7;61;385,727007955801;8,07973986023002;1,00488011247582
7;94;0;7;53;401,797953079332;6,57847208228376;1,00916666666667
7;95;0;7;40;1079,08777872324;21,1805905591779;1,0010695570045
7;96;0;7;50;359,461798453331;7,60298898080985;1,02243855668439
7;97;0;7;46;1183,41061591584;27,5755303739177;1,01666666666667
7;98;0;7;45;698,785083018409;21,6005423357089;1,00286155713929
7;99;0;7;43;827,573152153991;16,5812471754683;1,01583333333333
7;100;0;7;52;389,293859931139;8,90053475744194;1,01027900119623
